Ano;Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
2023;"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"DESPORTO COMUNITARIO";11.860.809,11;7.460.890,05;7.443.648,32
2023;"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";LAZER;1.235.172,55;1.235.172,55;1.235.172,55
2023;"ENCARGOS ESPECIAIS";"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";3.795.494,46;3.795.494,43;3.660.815,33
2023;"ENCARGOS ESPECIAIS";"FUNDACAO EDUCACIONAL CAIO MARTINS";"OUTROS ENCARGOS ESPECIAIS";6.218,45;6.218,45;6.218,45
2023;"SEGURANCA PUBLICA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"INFORMACAO E INTELIGENCIA";3.956.846,42;3.769.112,07;3.609.807,45
2023;"GESTAO AMBIENTAL";"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"CONTROLE AMBIENTAL";63.377.708,31;62.487.189,69;62.388.464,95
2023;SAUDE;"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";241.718.986,40;226.031.529,40;216.371.661,24
2023;SAUDE;"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";20.342.495,23;20.155.421,21;20.059.319,11
2023;"ESSENCIAL A JUSTICA";"PROCURADORIA GERAL DE JUSTICA";"ADMINISTRACAO GERAL";1.259.808.035,05;1.188.013.452,41;1.168.201.657,85
2023;"ESSENCIAL A JUSTICA";"FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";23.389.255,22;12.205.391,70;12.001.717,88
2023;ADMINISTRACAO;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"ADMINISTRACAO GERAL";15.041.839,39;15.041.839,39;15.041.839,39
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"ADMINISTRACAO GERAL";52.246.776,91;51.563.431,46;50.171.749,67
2023;ADMINISTRACAO;"FUNDACAO EDUCACIONAL CAIO MARTINS";"ADMINISTRACAO GERAL";4.073.306,12;3.937.929,64;3.904.922,98
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE FAZENDA";"ADMINISTRACAO GERAL";81.334.621,32;78.763.469,41;78.286.485,45
2023;ADMINISTRACAO;"LOTERIA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";830.224,79;794.489,51;789.717,13
2023;ADMINISTRACAO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO";"ADMINISTRACAO GERAL";698.486,43;687.908,39;688.083,11
